"Experiment"	"Batch"	"NREADS"	"NALIGNED"	"RALIGN"	"TOTAL_DUP"	"PRIMER"	"PCT_RIBOSOMAL_BASES"	"PCT_CODING_BASES"	"PCT_UTR_BASES"	"PCT_INTRONIC_BASES"	"PCT_INTERGENIC_BASES"	"PCT_MRNA_BASES"	"MEDIAN_CV_COVERAGE"	"MEDIAN_5PRIME_BIAS"	"MEDIAN_3PRIME_BIAS"	"CreER"	"ERCC_reads"
"JNRF03_N715_S505"	"K5ERP63CKO_UI_96HPT"	"P01"	777700	750751	96.5348	35.161	0.0148349	0	0.288263	0.279756	0.289991	0.14199	0.568019	0.862786	0.073971	0.40812	208	5904
"JNRF04_N727_S521"	"K5ERRY_UI_72HPT"	"Y04"	946863	912645	96.3862	42.4662	0.0148922	0	0.256758	0.218458	0.330188	0.194596	0.475216	0.965625	0.031968	0.373395	112	47005
"JNRF04_N728_S513"	"K5ERRY_UI_72HPT"	"Y04"	699828	653874	93.4335	46.5219	0.0323313	0	0.213836	0.242131	0.276377	0.267657	0.455967	1.56185	0	0.539508	1287	65783
"JNRF03_N711_S507"	"K5ERP63CKO_UI_96HPT"	"P01"	742794	711256	95.7541	25.6993	0.017828	2e-06	0.219346	0.247075	0.384049	0.149528	0.466421	0.883723	0.075748	0.456384	1	3285
"JNRF03_N712_S511"	"K5ERP63CKO_UI_96HPT"	"P01"	716554	689559	96.2327	28.2765	0.0148878	4e-06	0.282819	0.247046	0.315494	0.154636	0.529865	0.793167	0.16026	0.429663	1	2039
"JNRF04_N727_S516"	"K5ERRY_UI_72HPT"	"Y04"	961401	925520	96.2678	43.0818	0.0201376	0	0.377452	0.314511	0.111121	0.196916	0.691963	0.730714	0.150889	0.435204	12	42111
"JNRF03_N714_S506"	"K5ERP63CKO_UI_96HPT"	"P01"	913677	880872	96.4096	27.8754	0.0166098	0	0.292891	0.246819	0.310149	0.15014	0.539711	0.745946	0.160952	0.457835	817	2146
"JNRF03_N712_S505"	"K5ERP63CKO_UI_96HPT"	"P01"	769936	742549	96.443	42.702	0.0160023	0	0.299806	0.279822	0.276963	0.143409	0.579628	0.972474	0	0.405685	45	9414
"JNRF04_N729_S515"	"K5ERRY_UI_72HPT"	"Y04"	883304	843353	95.4771	49.5241	0.0210275	0	0.277377	0.279087	0.181407	0.26213	0.556464	1.08337	0	0.435713	4750	80563
"JNRF03_N712_S507"	"K5ERP63CKO_UI_96HPT"	"P01"	920170	889859	96.7059	38.2123	0.0145969	4e-06	0.287989	0.25753	0.322219	0.132259	0.545519	0.904059	0.066721	0.374586	797	5041
"JNRF04_N727_S518"	"K5ERRY_UI_72HPT"	"Y04"	460001	433512	94.2415	39.8906	0.0263921	0	0.228991	0.231248	0.280056	0.259705	0.460239	1.3189	0	0.412128	1533	40801
"JNRF04_N726_S520"	"K5ERRY_UI_72HPT"	"Y04"	800107	761451	95.1686	50.634	0.0221712	0	0.248767	0.258753	0.19611	0.29637	0.50752	1.06506	0	0.385281	2	77707
"JNRF03_N711_S505"	"K5ERP63CKO_UI_96HPT"	"P01"	673006	638338	94.8488	42.0162	0.0261883	0	0.187291	0.234964	0.39368	0.184065	0.422255	1.45471	0	0.306693	0	12175
"JNRF04_N728_S517"	"K5ERRY_UI_72HPT"	"Y04"	665645	638064	95.8565	42.1327	0.0182047	0	0.126051	0.168905	0.497593	0.207451	0.294956	1.44684	0	0.278013	271	51666
